id;name;register_number;phone;email;address;city;zip_code;state;country;local;complete_address
128;Cliente 128;65794700000000;(22) 4436-1108;cliente128@example.com;Avenida Marechal Floriano, 472;Ponta Grossa;68226842;PR;Brasil;Ponta Grossa - PR - Brasil;Avenida Marechal Floriano, 472, Ponta Grossa - PR - Brasil
129;Cliente 129;78971053413;(66) 1951-3377;cliente129@example.com;Rua das Hortansias, 384;Cascavel;39742508;PR;Brasil;Cascavel - PR - Brasil;Rua das Hortansias, 384, Cascavel - PR - Brasil
130;Cliente 130;02023137331;(90) 1059-2325;cliente130@example.com;Rua das Flores, 26;Maringa;12913353;PR;Brasil;Maringa - PR - Brasil;Rua das Flores, 26, Maringa - PR - Brasil
131;Cliente 131;32332900000000;(44) 3366-3337;cliente131@example.com;Rua Sao Paulo, 801;Pinhais;55097642;PR;Brasil;Pinhais - PR - Brasil;Rua Sao Paulo, 801, Pinhais - PR - Brasil
132;Cliente 132;02687030526;(87) 8952-3744;cliente132@example.com;Avenida Brasil, 576;Pinhais;48917734;PR;Brasil;Pinhais - PR - Brasil;Avenida Brasil, 576, Pinhais - PR - Brasil
133;Cliente 133;31368305604;(28) 8643-8356;cliente133@example.com;Rua Sao Paulo, 9;Maringa;53732437;PR;Brasil;Maringa - PR - Brasil;Rua Sao Paulo, 9, Maringa - PR - Brasil
134;Cliente 134;47066202203;(55) 4114-1991;cliente134@example.com;Rua das Palmeiras, 883;Foz do Iguacu;92086797;PR;Brasil;Foz do Iguacu - PR - Brasil;Rua das Palmeiras, 883, Foz do Iguacu - PR - Brasil
135;Cliente 135;83767700000000;(94) 4651-2205;cliente135@example.com;Rua das Araucarias, 933;Colombo;56938961;PR;Brasil;Colombo - PR - Brasil;Rua das Araucarias, 933, Colombo - PR - Brasil
136;Cliente 136;30586100000000;(32) 9388-1401;cliente136@example.com;Rua das Araucarias, 793;Foz do Iguacu;89376706;PR;Brasil;Foz do Iguacu - PR - Brasil;Rua das Araucarias, 793, Foz do Iguacu - PR - Brasil
137;Cliente 137;75832100000000;(17) 7535-5009;cliente137@example.com;Rua das Hortansias, 741;Araucaria;4461272;PR;Brasil;Araucaria - PR - Brasil;Rua das Hortansias, 741, Araucaria - PR - Brasil
